"chemical_input_pkey","study_year","treatment_fkey","treatment","treatment_long","crop","blocks","chemical_purpose","application_timing","application_date","application_mode","trade_name","active_ingredient","active_ingredient_concentration_value","active_ingredient_concentration_unit","application_rate_value_active_ingredient","application_rate_unit_active_ingredient","reference_chemical","application_rate_of_reference_chemical_value","application_rate_of_reference_chemical_unit","tractor","implement","original_entry","comment"
430,"2021",2,"CC","continuous_corn_stover_removed","corn","1, 2, 3, 4","herbicide","pre-emergence",2021-05-12,"broadcast","Corvus","thiencarbazone-methyl + isoxaflutole",NA,NA,5.6,"oz_per_ac",NA,NA,NA,NA,"Hagie STS12 self-propelled sprayer (100-foot wide boom)","Pre-emergent herbicide applied to all corn plots. Corvus applied at 5.6 oz./acre. Hagie STS12 sprayer was used.",NA
431,"2021",1,"C2","corn_soy_rotation","corn","1, 2, 3, 4","herbicide","pre-emergence",2021-05-12,"broadcast","Corvus","thiencarbazone-methyl + isoxaflutole",NA,NA,5.6,"oz_per_ac",NA,NA,NA,NA,"Hagie STS12 self-propelled sprayer (100-foot wide boom)","Pre-emergent herbicide applied to all corn plots. Corvus applied at 5.6 oz./acre. Hagie STS12 sprayer was used.",NA
432,"2021",6,"S2","soy_corn_rotation","soybean","1, 2, 3, 4","herbicide","pre-emergence",2021-05-13,"broadcast","Valor SX","flumioxazin",NA,NA,3,"oz_per_ac",NA,NA,NA,NA,"Spra-Coupe 4660 self-propelled sprayer (60-foot wide boom)","Pre-emergent herbicide applied to all soybean plots.Valor SX applied at 3oz/acre.Spra-Coupe 4660 sprayer was used.",NA
433,"2021",3,"CCW","continuous_corn_cover_crop_stover_removed","corn_rye","1, 2, 3, 4","herbicide","post-emergence",2021-06-10,"broadcast","Laudis","tembotrione",NA,NA,3,"oz_per_ac",NA,NA,NA,"John Deere 6430","unspecified 3-point sprayer","Post-emergence herbicide was applied to all corn plots. Laudis was applied at a rate of 3oz/ac. John Deere 6430 tractor and 3 pt sprayer were used.",NA
434,"2021",2,"CC","continuous_corn_stover_removed","corn","1, 2, 3, 4","herbicide","post-emergence",2021-06-10,"broadcast","Laudis","tembotrione",NA,NA,3,"oz_per_ac",NA,NA,NA,"John Deere 6430","unspecified 3-point sprayer","Post-emergence herbicide was applied to all corn plots. Laudis was applied at a rate of 3oz/ac. John Deere 6430 tractor and 3 pt sprayer were used.",NA
435,"2021",1,"C2","corn_soy_rotation","corn","1, 2, 3, 4","herbicide","post-emergence",2021-06-10,"broadcast","Laudis","tembotrione",NA,NA,3,"oz_per_ac",NA,NA,NA,"John Deere 6430","unspecified 3-point sprayer","Post-emergence herbicide was applied to all corn plots. Laudis was applied at a rate of 3oz/ac. John Deere 6430 tractor and 3 pt sprayer were used.",NA
436,"2021",6,"S2","soy_corn_rotation","soybean","1, 2, 3, 4","herbicide","post-emergence",2021-06-14,"broadcast","Liberty","glufosinate-ammonium",NA,NA,29,"oz_per_ac",NA,NA,NA,NA,"Spra-Coupe 4660 self-propelled sprayer (60-foot wide boom)","Post-emergence herbicide applied to all soybean plots.Liberty (29oz/ac) + Select Max (16oz/ac) were applied.SpraCoupe was used.",NA
437,"2021",6,"S2","soy_corn_rotation","soybean","1, 2, 3, 4","herbicide","post-emergence",2021-06-14,"broadcast","Select Max","clethodim",NA,NA,16,"oz_per_ac",NA,NA,NA,NA,"Spra-Coupe 4660 self-propelled sprayer (60-foot wide boom)","Post-emergence herbicide applied to all soybean plots.Liberty (29oz/ac) + Select Max (16oz/ac) were applied.SpraCoupe was used.",NA
438,"2021",3,"CCW","continuous_corn_cover_crop_stover_removed","corn_rye","1, 2, 3, 4","fertilizer","post-emergence",2021-06-16,"sidedress","UAN","urea ammonium nitrate",NA,NA,NA,NA,"nitrogen (N)",125,"lb_per_ac","John Deere 7230","Blu-Jet JetStream side dresser (12-row)","Nitrogen sidedress (UAN-32) applied to all corn plots. C2:100lbs/ac,CC :125lbs/ac,CCW:125lbs/ac.John Deere 7230 tractor and 12 row sidedress rig were used",NA
439,"2021",2,"CC","continuous_corn_stover_removed","corn","1, 2, 3, 4","fertilizer","post-emergence",2021-06-16,"sidedress","UAN","urea ammonium nitrate",NA,NA,NA,NA,"nitrogen (N)",125,"lb_per_ac","John Deere 7230","Blu-Jet JetStream side dresser (12-row)","Nitrogen sidedress (UAN-32) applied to all corn plots. C2:100lbs/ac,CC :125lbs/ac,CCW:125lbs/ac.John Deere 7230 tractor and 12 row sidedress rig were used",NA
440,"2021",1,"C2","corn_soy_rotation","corn","1, 2, 3, 4","fertilizer","post-emergence",2021-06-16,"sidedress","UAN","urea ammonium nitrate",NA,NA,NA,NA,"nitrogen (N)",100,"lb_per_ac","John Deere 7230","Blu-Jet JetStream side dresser (12-row)","Nitrogen sidedress (UAN-32) applied to all corn plots. C2:100lbs/ac,CC :125lbs/ac,CCW:125lbs/ac.John Deere 7230 tractor and 12 row sidedress rig were used",NA
441,"2021",6,"S2","soy_corn_rotation","soybean","1, 2, 3, 4","herbicide","post-emergence",2021-07-26,"broadcast","Liberty","glufosinate-ammonium",NA,NA,29,"oz_per_ac",NA,NA,NA,"John Deere 6430","unspecified 3-point mounted sprayer","Liberty applied to all soybean plots due to weed pressure. Liberty was applied at 29 oz/acre with John Deere 6430 and 3 pt mounted sprayer.","Liberty applied due to weed pressure."
442,"2022",5,"PF","prairie_fertilized","prairie_fertilized","1, 2, 3, 4","fertilizer","post-emergence",2022-04-27,"spreader","MicroEssentials Phosphate Fertilizer (MESZ)","nitrogen + phosphorus + sulfur + zinc",NA,NA,NA,NA,"nitrogen (N)",100,"lb_per_ac",NA,"unspecified RoGator spreader","100lbs of N(MESZ) added to PF pots.RoGator spreader was used.",NA
443,"2022",3,"CCW","continuous_corn_cover_crop_stover_removed","corn_rye","1, 2, 3, 4","herbicide","pre-emergence",2022-05-16,"broadcast","Abundit Edge","glyphosate",48.7,"percent",36,"oz_per_ac",NA,NA,NA,"John Deere 6140","unspecified sprayer (dual boom)","Burndown herbicide applied to all corn and soybean plots. Abundit Edge (Roundup) applied at 36oz/ac. John Deere 6140 tractor and dual boom sprayer were used.",NA
444,"2022",2,"CC","continuous_corn_stover_removed","corn","1, 2, 3, 4","herbicide","pre-emergence",2022-05-16,"broadcast","Abundit Edge","glyphosate",48.7,"percent",36,"oz_per_ac",NA,NA,NA,"John Deere 6140","unspecified sprayer (dual boom)","Burndown herbicide applied to all corn and soybean plots. Abundit Edge (Roundup) applied at 36oz/ac. John Deere 6140 tractor and dual boom sprayer were used.",NA
445,"2022",1,"C2","corn_soy_rotation","corn","1, 2, 3, 4","herbicide","pre-emergence",2022-05-16,"broadcast","Abundit Edge","glyphosate",48.7,"percent",36,"oz_per_ac",NA,NA,NA,"John Deere 6140","unspecified sprayer (dual boom)","Burndown herbicide applied to all corn and soybean plots. Abundit Edge (Roundup) applied at 36oz/ac. John Deere 6140 tractor and dual boom sprayer were used.",NA
446,"2022",6,"S2","soy_corn_rotation","soybean","1, 2, 3, 4","herbicide","pre-emergence",2022-05-16,"broadcast","Abundit Edge","glyphosate",48.7,"percent",36,"oz_per_ac",NA,NA,NA,"John Deere 6140","unspecified sprayer (dual boom)","Burndown herbicide applied to all corn and soybean plots. Abundit Edge (Roundup) applied at 36oz/ac. John Deere 6140 tractor and dual boom sprayer were used.",NA
447,"2022",3,"CCW","continuous_corn_cover_crop_stover_removed","corn_rye","1, 2, 3, 4","fertilizer","pre-emergence",2022-05-24,"injection","UAN","urea ammonium nitrate",32,"percent",NA,NA,"nitrogen (N)",75,"lb_per_ac","John Deere 7230","John Deere 1770NT planter (12-row)","Corn planted in all corn plots. John Deere 7230 tractor and John Deere 1770NT 12 row planter were used. Pioneer           corn planted at 36,000 seeds per acre. 75 lbs/ac of N (UAN-32) added to all plots at planting.  Planting depth ~2.5"".",NA
448,"2022",2,"CC","continuous_corn_stover_removed","corn","1, 2, 3, 4","fertilizer","pre-emergence",2022-05-24,"injection","UAN","urea ammonium nitrate",32,"percent",NA,NA,"nitrogen (N)",75,"lb_per_ac","John Deere 7230","John Deere 1770NT planter (12-row)","Corn planted in all corn plots. John Deere 7230 tractor and John Deere 1770NT 12 row planter were used. Pioneer           corn planted at 36,000 seeds per acre. 75 lbs/ac of N (UAN-32) added to all plots at planting.  Planting depth ~2.5"".",NA
449,"2022",1,"C2","corn_soy_rotation","corn","1, 2, 3, 4","fertilizer","pre-emergence",2022-05-24,"injection","UAN","urea ammonium nitrate",32,"percent",NA,NA,"nitrogen (N)",75,"lb_per_ac","John Deere 7230","John Deere 1770NT planter (12-row)","Corn planted in all corn plots. John Deere 7230 tractor and John Deere 1770NT 12 row planter were used. Pioneer           corn planted at 36,000 seeds per acre. 75 lbs/ac of N (UAN-32) added to all plots at planting.  Planting depth ~2.5"".",NA
450,"2022",6,"S2","soy_corn_rotation","soybean","1, 2, 3, 4","herbicide","pre-emergence",2022-06-22,"broadcast","Enlist Duo","2,4-dichlorophenoxyacetic acid + glyphosate",NA,NA,4,"pt_per_ac",NA,NA,NA,"John Deere 6125","unspecified 3-point sprayer","Pre-emergent herbicide applied to all soybean plots.Enlist Duo applied at 4 pt/ac, Outlook applied at 18oz/ac	John Deere 6125 tractor and 3 point sprayer were used.",NA
451,"2022",6,"S2","soy_corn_rotation","soybean","1, 2, 3, 4","herbicide","pre-emergence",2022-06-22,"broadcast","Outlook","dimethenamid-P",NA,NA,6,"oz_per_ac",NA,NA,NA,"John Deere 6125","unspecified 3-point sprayer","Pre-emergent herbicide applied to all soybean plots.Enlist Duo applied at 4 pt/ac, Outlook applied at 18oz/ac	John Deere 6125 tractor and 3 point sprayer were used.",NA
452,"2022",3,"CCW","continuous_corn_cover_crop_stover_removed","corn_rye","1, 2, 3, 4","herbicide","post-emergence",2022-06-23,"broadcast","Bucktril","octanoic acid ester of bromoxynil",NA,NA,6,"oz_per_ac",NA,NA,NA,NA,"Hagie STS12 self-propelled sprayer (100-foot wide boom)","Post-emergent herbicide applied to corn plots.Laudis applied at 3 oz/ac, Bucktrill applied at 6oz/ac.Hagie sprayer was used.",NA
453,"2022",2,"CC","continuous_corn_stover_removed","corn","1, 2, 3, 4","herbicide","post-emergence",2022-06-23,"broadcast","Bucktril","octanoic acid ester of bromoxynil",NA,NA,3,"oz_per_ac",NA,NA,NA,NA,"Hagie STS12 self-propelled sprayer (100-foot wide boom)","Post-emergent herbicide applied to corn plots.Laudis applied at 3 oz/ac, Bucktrill applied at 6oz/ac.Hagie sprayer was used.",NA
454,"2022",1,"C2","corn_soy_rotation","corn","1, 2, 3, 4","herbicide","post-emergence",2022-06-23,"broadcast","Bucktril","octanoic acid ester of bromoxynil",NA,NA,6,"oz_per_ac",NA,NA,NA,NA,"Hagie STS12 self-propelled sprayer (100-foot wide boom)","Post-emergent herbicide applied to corn plots.Laudis applied at 3 oz/ac, Bucktrill applied at 6oz/ac.Hagie sprayer was used.",NA
455,"2022",3,"CCW","continuous_corn_cover_crop_stover_removed","corn_rye","1, 2, 3, 4","herbicide","post-emergence",2022-06-23,"broadcast","Laudis","tembotrione",NA,NA,3,"oz_per_ac",NA,NA,NA,NA,"Hagie STS12 self-propelled sprayer (100-foot wide boom)","Post-emergent herbicide applied to corn plots.Laudis applied at 3 oz/ac, Bucktrill applied at 6oz/ac.Hagie sprayer was used.",NA
456,"2022",2,"CC","continuous_corn_stover_removed","corn","1, 2, 3, 4","herbicide","post-emergence",2022-06-23,"broadcast","Laudis","tembotrione",NA,NA,3,"oz_per_ac",NA,NA,NA,NA,"Hagie STS12 self-propelled sprayer (100-foot wide boom)","Post-emergent herbicide applied to corn plots.Laudis applied at 3 oz/ac, Bucktrill applied at 6oz/ac.Hagie sprayer was used.",NA
457,"2022",1,"C2","corn_soy_rotation","corn","1, 2, 3, 4","herbicide","post-emergence",2022-06-23,"broadcast","Laudis","tembotrione",NA,NA,3,"oz_per_ac",NA,NA,NA,NA,"Hagie STS12 self-propelled sprayer (100-foot wide boom)","Post-emergent herbicide applied to corn plots.Laudis applied at 3 oz/ac, Bucktrill applied at 6oz/ac.Hagie sprayer was used.",NA
458,"2022",3,"CCW","continuous_corn_cover_crop_stover_removed","corn_rye","1, 2, 3, 4","fertilizer","post-emergence",2022-06-30,"sidedress","UAN","urea ammonium nitrate",32,"percent",NA,NA,"nitrogen (N)",100,"lb_per_ac","John Deere 7230R","Blu-Jet JetStream side dresser (12-row)","Nitrogn sidedress(UAN-32) applied to all corn plots.John Deere 7230R tractor with Blujet sdiedress rig was used. C2: 100 lbs/ac CC :110 lbs/ac CCW: 140 lbs/ac",NA
459,"2022",2,"CC","continuous_corn_stover_removed","corn","1, 2, 3, 4","fertilizer","post-emergence",2022-06-30,"sidedress","UAN","urea ammonium nitrate",32,"percent",NA,NA,"nitrogen (N)",100,"lb_per_ac","John Deere 7230R","Blu-Jet JetStream side dresser (12-row)","Nitrogn sidedress(UAN-32) applied to all corn plots.John Deere 7230R tractor with Blujet sdiedress rig was used. C2: 100 lbs/ac CC :110 lbs/ac CCW: 140 lbs/ac",NA
460,"2022",1,"C2","corn_soy_rotation","corn","1, 2, 3, 4","fertilizer","post-emergence",2022-06-30,"sidedress","UAN","urea ammonium nitrate",32,"percent",NA,NA,"nitrogen (N)",100,"lb_per_ac","John Deere 7230R","Blu-Jet JetStream side dresser (12-row)","Nitrogn sidedress(UAN-32) applied to all corn plots.John Deere 7230R tractor with Blujet sdiedress rig was used. C2: 100 lbs/ac CC :110 lbs/ac CCW: 140 lbs/ac",NA
461,"2022",6,"S2","soy_corn_rotation","soybean","1, 2, 3, 4","herbicide","post-emergence",2022-07-13,"broadcast","Interline","glufosinate-ammonium",NA,NA,32,"oz_per_ac",NA,NA,NA,NA,NA,"Post-emergent Herbicide applied to all soybean plots.Interline(Liberty) applied at 32 oz/ac",NA
462,"2023",3,"CCW","continuous_corn_cover_crop_stover_removed","corn_rye","1, 2, 3, 4","fertilizer","pre-emergence",2023-04-25,"bulk_spreader","not_listed",NA,NA,NA,NA,NA,"phosphorus (P)",40,"lb_per_ac",NA,"unspecified RoGator spreader","P and K fertilizer applied to corn plots. C2 : 40 lbs/ac of P, 90 lbs/ac of K CC : 40 lbs/ac, 90 lbs lbs/ac of K CCW : 40 lbs/ac, 90 lbs/ac of K. RoGator bulk spreader was used.",NA
463,"2023",3,"CCW","continuous_corn_cover_crop_stover_removed","corn_rye","1, 2, 3, 4","fertilizer","pre-emergence",2023-04-25,"bulk_spreader","not_listed",NA,NA,NA,NA,NA,"potassium (K)",90,"lb_per_ac",NA,"unspecified RoGator spreader","P and K fertilizer applied to corn plots. C2 : 40 lbs/ac of P, 90 lbs/ac of K CC : 40 lbs/ac, 90 lbs lbs/ac of K CCW : 40 lbs/ac, 90 lbs/ac of K. RoGator bulk spreader was used.",NA
464,"2023",2,"CC","continuous_corn_stover_removed","corn","1, 2, 3, 4","fertilizer","pre-emergence",2023-04-25,"bulk_spreader","not_listed",NA,NA,NA,NA,NA,"phosphorus (P)",40,"lb_per_ac",NA,"unspecified RoGator spreader","P and K fertilizer applied to corn plots. C2 : 40 lbs/ac of P, 90 lbs/ac of K CC : 40 lbs/ac, 90 lbs lbs/ac of K CCW : 40 lbs/ac, 90 lbs/ac of K. RoGator bulk spreader was used.",NA
465,"2023",2,"CC","continuous_corn_stover_removed","corn","1, 2, 3, 4","fertilizer","pre-emergence",2023-04-25,"bulk_spreader","not_listed",NA,NA,NA,NA,NA,"potassium (K)",90,"lb_per_ac",NA,"unspecified RoGator spreader","P and K fertilizer applied to corn plots. C2 : 40 lbs/ac of P, 90 lbs/ac of K CC : 40 lbs/ac, 90 lbs lbs/ac of K CCW : 40 lbs/ac, 90 lbs/ac of K. RoGator bulk spreader was used.",NA
466,"2023",1,"C2","corn_soy_rotation","corn","1, 2, 3, 4","fertilizer","pre-emergence",2023-04-25,"bulk_spreader","not_listed",NA,NA,NA,NA,NA,"phosphorus (P)",40,"lb_per_ac",NA,"unspecified RoGator spreader","P and K fertilizer applied to corn plots. C2 : 40 lbs/ac of P, 90 lbs/ac of K CC : 40 lbs/ac, 90 lbs lbs/ac of K CCW : 40 lbs/ac, 90 lbs/ac of K. RoGator bulk spreader was used.",NA
467,"2023",1,"C2","corn_soy_rotation","corn","1, 2, 3, 4","fertilizer","pre-emergence",2023-04-25,"bulk_spreader","not_listed",NA,NA,NA,NA,NA,"potassium (K)",90,"lb_per_ac",NA,"unspecified RoGator spreader","P and K fertilizer applied to corn plots. C2 : 40 lbs/ac of P, 90 lbs/ac of K CC : 40 lbs/ac, 90 lbs lbs/ac of K CCW : 40 lbs/ac, 90 lbs/ac of K. RoGator bulk spreader was used.",NA
468,"2023",5,"PF","prairie_fertilized","prairie_fertilized","1, 2, 3, 4","fertilizer","post-emergence",2023-04-26,"broadcast","UAN","urea ammonium nitrate",32,"percent",NA,NA,"nitrogen (N)",100,"lb_per_ac",NA,"Spra-Coupe self-propelled sprayer","Nitrogen applied to PF plots. 100 lbs/ac of N(UAN-32) applied to PF plots. SpraCoupe 4660 was used.",NA
469,"2023",3,"CCW","continuous_corn_cover_crop_stover_removed","corn_rye","1, 2, 3, 4","herbicide","pre-emergence",2023-05-11,"broadcast","Abundit Edge","glyphosate",48.7,"percent",32,"oz_per_ac",NA,NA,NA,NA,NA,"Rye terminated in all CCW plots. Abundit Edge applied @ 32 oz/ac + Sharpen applied @ 1 oz/ac.",NA
470,"2023",3,"CCW","continuous_corn_cover_crop_stover_removed","corn_rye","1, 2, 3, 4","herbicide","pre-emergence",2023-05-11,"broadcast","Sharpen","saflufenacil",NA,NA,1,"oz_per_ac",NA,NA,NA,NA,NA,"Rye terminated in all CCW plots. Abundit Edge applied @ 32 oz/ac + Sharpen applied @ 1 oz/ac.",NA
471,"2023",3,"CCW","continuous_corn_cover_crop_stover_removed","corn_rye","1, 2, 3, 4","herbicide","pre-emergence",2023-05-23,"broadcast","Verdict","saflufenacil + dimethenamid-P",NA,NA,12,"oz_per_ac",NA,NA,NA,NA,"Spra-Coupe self-propelled sprayer","Burndown/ pre-emergent herbicide applied to all corn plots. Verdict applied at 12 oz/ac. SpraCoupe 4660 was used.",NA
472,"2023",2,"CC","continuous_corn_stover_removed","corn","1, 2, 3, 4","herbicide","pre-emergence",2023-05-23,"broadcast","Verdict","saflufenacil + dimethenamid-P",NA,NA,12,"oz_per_ac",NA,NA,NA,NA,"Spra-Coupe self-propelled sprayer","Burndown/ pre-emergent herbicide applied to all corn plots. Verdict applied at 12 oz/ac. SpraCoupe 4660 was used.",NA
473,"2023",1,"C2","corn_soy_rotation","corn","1, 2, 3, 4","herbicide","pre-emergence",2023-05-23,"broadcast","Verdict","saflufenacil + dimethenamid-P",NA,NA,12,"oz_per_ac",NA,NA,NA,NA,"Spra-Coupe self-propelled sprayer","Burndown/ pre-emergent herbicide applied to all corn plots. Verdict applied at 12 oz/ac. SpraCoupe 4660 was used.",NA
474,"2023",3,"CCW","continuous_corn_cover_crop_stover_removed","corn_rye","1, 2, 3, 4","herbicide","post-emergence",2023-06-15,"broadcast","Abundit Edge","glyphosate",NA,NA,28,"oz_per_ac",NA,NA,NA,NA,"John Deere 412R self-propelled sprayer","Corn plots sprayed with post-emergent herbicide. Impact applied @ 1 oz/ac + Abundit Edge applied @ 28 oz/ac. John Deere 412R sprayer was used.",NA
475,"2023",2,"CC","continuous_corn_stover_removed","corn","1, 2, 3, 4","herbicide","post-emergence",2023-06-15,"broadcast","Abundit Edge","glyphosate",NA,NA,28,"oz_per_ac",NA,NA,NA,NA,"John Deere 412R self-propelled sprayer","Corn plots sprayed with post-emergent herbicide. Impact applied @ 1 oz/ac + Abundit Edge applied @ 28 oz/ac. John Deere 412R sprayer was used.",NA
476,"2023",1,"C2","corn_soy_rotation","corn","1, 2, 3, 4","herbicide","post-emergence",2023-06-15,"broadcast","Abundit Edge","glyphosate",NA,NA,28,"oz_per_ac",NA,NA,NA,NA,"John Deere 412R self-propelled sprayer","Corn plots sprayed with post-emergent herbicide. Impact applied @ 1 oz/ac + Abundit Edge applied @ 28 oz/ac. John Deere 412R sprayer was used.",NA
477,"2023",3,"CCW","continuous_corn_cover_crop_stover_removed","corn_rye","1, 2, 3, 4","herbicide","post-emergence",2023-06-15,"broadcast","Impact","topramezone",NA,NA,1,"oz_per_ac",NA,NA,NA,NA,"John Deere 412R self-propelled sprayer","Corn plots sprayed with post-emergent herbicide. Impact applied @ 1 oz/ac + Abundit Edge applied @ 28 oz/ac. John Deere 412R sprayer was used.",NA
478,"2023",2,"CC","continuous_corn_stover_removed","corn","1, 2, 3, 4","herbicide","post-emergence",2023-06-15,"broadcast","Impact","topramezone",NA,NA,1,"oz_per_ac",NA,NA,NA,NA,"John Deere 412R self-propelled sprayer","Corn plots sprayed with post-emergent herbicide. Impact applied @ 1 oz/ac + Abundit Edge applied @ 28 oz/ac. John Deere 412R sprayer was used.",NA
479,"2023",1,"C2","corn_soy_rotation","corn","1, 2, 3, 4","herbicide","post-emergence",2023-06-15,"broadcast","Impact","topramezone",NA,NA,1,"oz_per_ac",NA,NA,NA,NA,"John Deere 412R self-propelled sprayer","Corn plots sprayed with post-emergent herbicide. Impact applied @ 1 oz/ac + Abundit Edge applied @ 28 oz/ac. John Deere 412R sprayer was used.",NA
480,"2023",3,"CCW","continuous_corn_cover_crop_stover_removed","corn_rye","1, 2, 3, 4","fertilizer","post-emergence",2023-06-21,"sidedress","UAN","urea ammonium nitrate",32,"percent",NA,NA,"nitrogen (N)",95,"lb_per_ac","John Deere 7230R","Blu-Jet JetStream side dresser (12-row)","Nitrogen Side dress applied to all corn plots. C2: 85 lbs/ac. CC: 95 lbs/ac. CCW: 95 lbs/ac. John Deere 7230R Tractor and Blu-jet side dress rig was used. LSNT soil sampling was not completed, historical values used to determine side dress rates.",NA
481,"2023",2,"CC","continuous_corn_stover_removed","corn","1, 2, 3, 4","fertilizer","post-emergence",2023-06-21,"sidedress","UAN","urea ammonium nitrate",32,"percent",NA,NA,"nitrogen (N)",95,"lb_per_ac","John Deere 7230R","Blu-Jet JetStream side dresser (12-row)","Nitrogen Side dress applied to all corn plots. C2: 85 lbs/ac. CC: 95 lbs/ac. CCW: 95 lbs/ac. John Deere 7230R Tractor and Blu-jet side dress rig was used. LSNT soil sampling was not completed, historical values used to determine side dress rates.",NA
482,"2023",1,"C2","corn_soy_rotation","corn","1, 2, 3, 4","fertilizer","post-emergence",2023-06-21,"sidedress","UAN","urea ammonium nitrate",32,"percent",NA,NA,"nitrogen (N)",85,"lb_per_ac","John Deere 7230R","Blu-Jet JetStream side dresser (12-row)","Nitrogen Side dress applied to all corn plots. C2: 85 lbs/ac. CC: 95 lbs/ac. CCW: 95 lbs/ac. John Deere 7230R Tractor and Blu-jet side dress rig was used. LSNT soil sampling was not completed, historical values used to determine side dress rates.",NA
483,"2024",3,"CCW","continuous_corn_cover_crop_stover_removed","corn_rye","1, 2, 3, 4","fertilizer","pre-emergence",2024-04-15,"spreader","Diammonium phosphate (DAP)","diammonium phosphate (NH4)2(H2PO4)",NA,NA,NA,NA,"phosphorus pentoxide (P2O5)",60,"lb_per_ac",NA,"RoGator RG1100 self-propelled sprayer","P, K and S applied to all plots. RoGator 1100 was used. DAP, potash and elemental sulfur were applied at the following rates: P2O5: 60 lbs/ac, K2O: 60 lbs/ac, S: 20 lbs/ac.",NA
484,"2024",2,"CC","continuous_corn_stover_removed","corn","1, 2, 3, 4","fertilizer","pre-emergence",2024-04-15,"spreader","Diammonium phosphate (DAP)","diammonium phosphate (NH4)2(H2PO4)",NA,NA,NA,NA,"phosphorus pentoxide (P2O5)",60,"lb_per_ac",NA,"RoGator RG1100 self-propelled sprayer","P, K and S applied to all plots. RoGator 1100 was used. DAP, potash and elemental sulfur were applied at the following rates: P2O5: 60 lbs/ac, K2O: 60 lbs/ac, S: 20 lbs/ac.",NA
485,"2024",1,"C2","corn_soy_rotation","corn","1, 2, 3, 4","fertilizer","pre-emergence",2024-04-15,"spreader","Diammonium phosphate (DAP)","diammonium phosphate (NH4)2(H2PO4)",NA,NA,NA,NA,"phosphorus pentoxide (P2O5)",60,"lb_per_ac",NA,"RoGator RG1100 self-propelled sprayer","P, K and S applied to all plots. RoGator 1100 was used. DAP, potash and elemental sulfur were applied at the following rates: P2O5: 60 lbs/ac, K2O: 60 lbs/ac, S: 20 lbs/ac.",NA
486,"2024",6,"S2","soy_corn_rotation","soybean","1, 2, 3, 4","fertilizer","pre-emergence",2024-04-15,"spreader","Diammonium phosphate (DAP)","diammonium phosphate (NH4)2(H2PO4)",NA,NA,NA,NA,"phosphorus pentoxide (P2O5)",60,"lb_per_ac",NA,"RoGator RG1100 self-propelled sprayer","P, K and S applied to all plots. RoGator 1100 was used. DAP, potash and elemental sulfur were applied at the following rates: P2O5: 60 lbs/ac, K2O: 60 lbs/ac, S: 20 lbs/ac.",NA
487,"2024",3,"CCW","continuous_corn_cover_crop_stover_removed","corn_rye","1, 2, 3, 4","fertilizer","pre-emergence",2024-04-15,"spreader","Muriate of potash (MOP)","potassium chloride (KCl)",NA,NA,NA,NA,"potassium oxide (K2O)",60,"lb_per_ac",NA,"RoGator RG1100 self-propelled sprayer","P, K and S applied to all plots. RoGator 1100 was used. DAP, potash and elemental sulfur were applied at the following rates: P2O5: 60 lbs/ac, K2O: 60 lbs/ac, S: 20 lbs/ac.",NA
488,"2024",2,"CC","continuous_corn_stover_removed","corn","1, 2, 3, 4","fertilizer","pre-emergence",2024-04-15,"spreader","Muriate of potash (MOP)","potassium chloride (KCl)",NA,NA,NA,NA,"potassium oxide (K2O)",60,"lb_per_ac",NA,"RoGator RG1100 self-propelled sprayer","P, K and S applied to all plots. RoGator 1100 was used. DAP, potash and elemental sulfur were applied at the following rates: P2O5: 60 lbs/ac, K2O: 60 lbs/ac, S: 20 lbs/ac.",NA
489,"2024",1,"C2","corn_soy_rotation","corn","1, 2, 3, 4","fertilizer","pre-emergence",2024-04-15,"spreader","Muriate of potash (MOP)","potassium chloride (KCl)",NA,NA,NA,NA,"potassium oxide (K2O)",60,"lb_per_ac",NA,"RoGator RG1100 self-propelled sprayer","P, K and S applied to all plots. RoGator 1100 was used. DAP, potash and elemental sulfur were applied at the following rates: P2O5: 60 lbs/ac, K2O: 60 lbs/ac, S: 20 lbs/ac.",NA
490,"2024",6,"S2","soy_corn_rotation","soybean","1, 2, 3, 4","fertilizer","pre-emergence",2024-04-15,"spreader","Muriate of potash (MOP)","potassium chloride (KCl)",NA,NA,NA,NA,"potassium oxide (K2O)",60,"lb_per_ac",NA,"RoGator RG1100 self-propelled sprayer","P, K and S applied to all plots. RoGator 1100 was used. DAP, potash and elemental sulfur were applied at the following rates: P2O5: 60 lbs/ac, K2O: 60 lbs/ac, S: 20 lbs/ac.",NA
491,"2024",3,"CCW","continuous_corn_cover_crop_stover_removed","corn_rye","1, 2, 3, 4","fertilizer","pre-emergence",2024-04-15,"spreader","not_listed","sulphur (S)",NA,NA,20,"lb_per_ac",NA,NA,NA,NA,"RoGator RG1100 self-propelled sprayer","P, K and S applied to all plots. RoGator 1100 was used. DAP, potash and elemental sulfur were applied at the following rates: P2O5: 60 lbs/ac, K2O: 60 lbs/ac, S: 20 lbs/ac.",NA
492,"2024",2,"CC","continuous_corn_stover_removed","corn","1, 2, 3, 4","fertilizer","pre-emergence",2024-04-15,"spreader","not_listed","sulphur (S)",NA,NA,20,"lb_per_ac",NA,NA,NA,NA,"RoGator RG1100 self-propelled sprayer","P, K and S applied to all plots. RoGator 1100 was used. DAP, potash and elemental sulfur were applied at the following rates: P2O5: 60 lbs/ac, K2O: 60 lbs/ac, S: 20 lbs/ac.",NA
